spatial_reference_id,reference_type,topology_status,reciprocal_link_count,missing_direction_count,finding_count,detail
NG-SCELL-000080,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000081,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000082,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000083,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000084,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000085,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000086,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000087,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000088,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000089,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000090,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000091,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000092,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000093,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000094,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000095,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000096,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000097,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000098,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000099,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000100,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000101,REFERENCE_CELL,PASS,4,4,0,
NG-SCELL-000102,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000103,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000104,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000105,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000106,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000107,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000108,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000109,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000110,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000111,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000112,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000113,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000114,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000115,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000116,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000117,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000118,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000119,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000120,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000121,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000122,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000123,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000124,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000125,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000126,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000127,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000128,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000129,REFERENCE_CELL,PASS,7,1,0,
NG-SCELL-000130,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000131,REFERENCE_CELL,PASS,0,8,0,
NG-SCELL-000132,REFERENCE_CELL,PASS,5,3,0,
NG-SCELL-000133,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000134,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000135,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000136,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000137,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000138,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000139,REFERENCE_CELL,PASS,8,0,0,
NG-SCELL-000140,REFERENCE_CELL,PASS,8,0,0,
